
    ROCPROFV3 SUMMARY:

    |                   NAME                   |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    |------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
    | hipMemset                                | HIP_API         |               9 |      3716285919 |       4.129e+08 |     38.194845 |           36249 |       490685107 |       1.560e+08 |
    | hipStreamCreateWithFlags                 | HIP_API         |             151 |      1761491042 |       1.167e+07 |     18.104064 |         9623195 |        22388848 |       3.727e+06 |
    | __amd_rocclr_copyBuffer                  | KERNEL_DISPATCH |            1312 |      1551713735 |       1.183e+06 |     15.948037 |            2720 |         1354413 |       3.359e+05 |
    | loop_add_fusion                          | KERNEL_DISPATCH |            1203 |      1347332432 |       1.120e+06 |     13.847469 |            3200 |         1142891 |       5.620e+04 |
    | hipStreamDestroy                         | HIP_API         |             150 |       568254102 |       3.788e+06 |      5.840341 |         3477504 |         4688975 |       1.347e+05 |
    | hipGraphLaunch                           | HIP_API         |            1212 |       373592286 |       3.082e+05 |      3.839667 |           19457 |          900991 |       8.363e+04 |
    | hipInit                                  | HIP_API         |               2 |       150420981 |       7.521e+07 |      1.545981 |             942 |       150420039 |       1.064e+08 |
    | hipStreamCreateWithPriority              | HIP_API         |               4 |        79366022 |       1.984e+07 |      0.815700 |        19610011 |        20202226 |       2.831e+05 |
    | hipHostMalloc                            | HIP_API         |               3 |        62825651 |       2.094e+07 |      0.645703 |           96343 |        61608860 |       3.522e+07 |
    | hipModuleLoadData                        | HIP_API         |              15 |        19754045 |       1.317e+06 |      0.203026 |          649904 |         8391486 |       1.959e+06 |
    | loop_multiply_fusion                     | KERNEL_DISPATCH |              13 |        14035013 |       1.080e+06 |      0.144248 |         1059210 |         1102730 |       1.310e+04 |
    | wrapped_multiply                         | KERNEL_DISPATCH |               8 |        13868133 |       1.734e+06 |      0.142532 |         1678096 |         1813617 |       3.912e+04 |
    | wrapped_cosine                           | KERNEL_DISPATCH |              12 |        12571319 |       1.048e+06 |      0.129204 |         1043049 |         1056010 |       4.236e+03 |
    | hipMalloc                                | HIP_API         |              19 |        12541782 |       6.601e+05 |      0.128901 |           54433 |         2857376 |       6.535e+05 |
    | wrapped_broadcast                        | KERNEL_DISPATCH |              12 |         7194310 |       5.995e+05 |      0.073941 |          582565 |          610886 |       8.423e+03 |
    | hipModuleUnload                          | HIP_API         |              15 |         5121035 |       3.414e+05 |      0.052632 |          252148 |          756306 |       1.496e+05 |
    | loop_and_fusion_1                        | KERNEL_DISPATCH |            1200 |         4898445 |       4.082e+03 |      0.050345 |            3840 |            4640 |       1.084e+02 |
    | loop_add_fusion_1                        | KERNEL_DISPATCH |            1200 |         3649159 |       3.041e+03 |      0.037505 |            2880 |            3360 |       9.019e+01 |
