
    ROCPROFV3 SUMMARY:

    |                        NAME                         |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    |-----------------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
    | naive_conv_ab_nonpacked_fwd_nchw_float_double_float | KERNEL_DISPATCH |            3600 |      8872618542 |       2.465e+06 |     27.480338 |         2460185 |         2468824 |       2.386e+06 |
    | input_transpose_fusion_2                            | KERNEL_DISPATCH |            1200 |      4888250730 |       4.074e+06 |     15.139925 |         3948039 |         4237803 |       3.581e+06 |
    | input_transpose_fusion_1                            | KERNEL_DISPATCH |            1212 |      4119861494 |       3.399e+06 |     12.760064 |         3308033 |         3485154 |       2.814e+04 |
    | hipMemset                                           | HIP_API         |               9 |      3643107705 |       4.048e+08 |     11.283459 |           34074 |       475945261 |       1.527e+08 |
    | input_transpose_fusion_3                            | KERNEL_DISPATCH |            1200 |      1955308874 |       1.629e+06 |      6.055997 |         1622576 |         1637136 |       2.569e+03 |
    | hipStreamCreateWithFlags                            | HIP_API         |             152 |      1786953144 |       1.176e+07 |      5.534564 |         9210422 |        24260904 |       3.769e+06 |
    | input_transpose_fusion                              | KERNEL_DISPATCH |            1200 |      1477564916 |       1.231e+06 |      4.576325 |         1197612 |         1342893 |       2.494e+04 |
    | input_concatenate_fusion                            | KERNEL_DISPATCH |            1200 |      1237788902 |       1.031e+06 |      3.833689 |         1014570 |         1047531 |       4.983e+03 |
    | input_concatenate_fusion_2                          | KERNEL_DISPATCH |            1200 |      1213934606 |       1.012e+06 |      3.759807 |         1001450 |         1024330 |       3.819e+03 |
    | input_concatenate_fusion_1                          | KERNEL_DISPATCH |            1200 |      1209541458 |       1.008e+06 |      3.746200 |          997610 |         1023210 |       4.061e+03 |
    | hipModuleLaunchKernel                               | HIP_API         |            9670 |       625762703 |       6.471e+04 |      1.938117 |            3887 |          406512 |       2.326e+04 |
    | hipStreamDestroy                                    | HIP_API         |             151 |       576648662 |       3.819e+06 |      1.786000 |         3592072 |         4543829 |       1.194e+05 |
    | hipExtModuleLaunchKernel                            | HIP_API         |            3600 |       238515635 |       6.625e+04 |      0.738732 |            4899 |          284731 |       2.081e+04 |
    | hipInit                                             | HIP_API         |               2 |       150648668 |       7.532e+07 |      0.466590 |             601 |       150648067 |       1.065e+08 |
    | hipStreamCreateWithPriority                         | HIP_API         |               4 |        78994860 |       1.975e+07 |      0.244663 |        19525662 |        19878641 |       1.648e+05 |
    | hipHostMalloc                                       | HIP_API         |               3 |        63142624 |       2.105e+07 |      0.195566 |          146077 |        61927797 |       3.541e+07 |
    | hipModuleLoadData                                   | HIP_API         |              18 |        22219779 |       1.234e+06 |      0.068819 |          375704 |         9510492 |       2.080e+06 |
    | input_transpose_fusion_5                            | KERNEL_DISPATCH |              12 |        14754069 |       1.230e+06 |      0.045696 |         1203052 |         1281133 |       2.173e+04 |
    | loop_multiply_fusion                                | KERNEL_DISPATCH |              13 |        14069900 |       1.082e+06 |      0.043577 |         1068491 |         1100810 |       1.015e+04 |
    | wrapped_multiply                                    | KERNEL_DISPATCH |               8 |        13904299 |       1.738e+06 |      0.043064 |         1681937 |         1823858 |       4.697e+04 |
    | hipGraphLaunch                                      | HIP_API         |              12 |        12925757 |       1.077e+06 |      0.040034 |          347340 |         1628793 |       4.652e+05 |
    | hipMalloc                                           | HIP_API         |              22 |        12588638 |       5.722e+05 |      0.038990 |           52249 |         2812561 |       5.792e+05 |
    | wrapped_cosine                                      | KERNEL_DISPATCH |              12 |        12571325 |       1.048e+06 |      0.038936 |         1040331 |         1054570 |       4.418e+03 |
    | wrapped_broadcast                                   | KERNEL_DISPATCH |              12 |         7253352 |       6.044e+05 |      0.022465 |          587846 |          612646 |       6.608e+03 |
    | hipModuleUnload                                     | HIP_API         |              17 |         5169155 |       3.041e+05 |      0.016010 |          248672 |          522913 |       7.470e+04 |
    | loop_add_fusion                                     | KERNEL_DISPATCH |            1203 |         4961649 |       4.124e+03 |      0.015367 |            2560 |            4800 |       1.216e+02 |
    | wrapped_subtract                                    | KERNEL_DISPATCH |               2 |         3471395 |       1.736e+06 |      0.010752 |         1709937 |         1761458 |       3.643e+04 |
    | __amd_rocclr_copyBuffer                             | KERNEL_DISPATCH |             108 |         2979387 |       2.759e+04 |      0.009228 |            2240 |         1271852 |       1.712e+05 |
    | hipLaunchHostFunc                                   | HIP_API         |             184 |         2593440 |       1.409e+04 |      0.008032 |            6953 |           72067 |       8.314e+03 |
    | hipFree                                             | HIP_API         |               4 |         2408675 |       6.022e+05 |      0.007460 |            5080 |         1955504 |       9.093e+05 |
    | hipEventRecord                                      | HIP_API         |             347 |         2249103 |       6.482e+03 |      0.006966 |            1353 |          271144 |       1.547e+04 |
