
    ROCPROFV3 SUMMARY:

    |                                                   NAME                                                   |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    |----------------------------------------------------------------------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
    | hipMemset                                                                                                | HIP_API         |               9 |      3582401374 |       3.980e+08 |     49.370221 |           32362 |       470412996 |       1.507e+08 |
    | hipStreamCreateWithFlags                                                                                 | HIP_API         |             151 |      1836373646 |       1.216e+07 |     25.307653 |        10000542 |        27808001 |       3.870e+06 |
    | hipStreamDestroy                                                                                         | HIP_API         |             150 |       573681020 |       3.825e+06 |      7.906082 |         3694887 |         4479758 |       1.283e+05 |
    | hipModuleLoadData                                                                                        | HIP_API         |              78 |       341189956 |       4.374e+06 |      4.702048 |          399188 |        88916262 |       1.637e+07 |
    | hipModuleLaunchKernel                                                                                    | HIP_API         |            2856 |       175103976 |       6.131e+04 |      2.413164 |            5260 |          113285 |       1.238e+04 |
    | hipInit                                                                                                  | HIP_API         |               2 |       154104962 |       7.705e+07 |      2.123770 |             591 |       154104371 |       1.090e+08 |
    | loop_add_fusion                                                                                          | KERNEL_DISPATCH |             206 |       101916962 |       4.947e+05 |      1.404550 |            2400 |          512485 |       8.526e+04 |
    | hipStreamCreateWithPriority                                                                              | HIP_API         |               4 |        77735248 |       1.943e+07 |      1.071294 |        19301195 |        19732384 |       2.012e+05 |
    | loop_concatenate_fusion                                                                                  | KERNEL_DISPATCH |             200 |        73171582 |       3.659e+05 |      1.008401 |          364804 |          366883 |       3.587e+02 |
    | hipHostMalloc                                                                                            | HIP_API         |               3 |        66574664 |       2.219e+07 |      0.917487 |          192165 |        65310172 |       3.734e+07 |
    | input_add_reduce_fusion                                                                                  | KERNEL_DISPATCH |             200 |        49940155 |       2.497e+05 |      0.688241 |          248642 |          252803 |       5.696e+02 |
    | hipMemcpyDtoDAsync                                                                                       | HIP_API         |             622 |        37593347 |       6.044e+04 |      0.518086 |            4889 |          128645 |       1.436e+04 |
    | hipLaunchKernel                                                                                          | HIP_API         |             404 |        36613360 |       9.063e+04 |      0.504580 |            6062 |        11619126 |       5.751e+05 |
    | loop_concatenate_fusion_1                                                                                | KERNEL_DISPATCH |             200 |        30645090 |       1.532e+05 |      0.422330 |          151842 |          155842 |       5.960e+02 |
    | hipMemcpyDtoHAsync                                                                                       | HIP_API         |              12 |        27093053 |       2.258e+06 |      0.373378 |           11041 |        26754089 |       7.714e+06 |
    | hipModuleUnload                                                                                          | HIP_API         |              78 |        19818880 |       2.541e+05 |      0.273130 |            2034 |          667608 |       7.880e+04 |
    | hipMalloc                                                                                                | HIP_API         |              45 |        12936337 |       2.875e+05 |      0.178280 |            3777 |         2780811 |       4.905e+05 |
    | hipStreamCreate                                                                                          | HIP_API         |               1 |        10838293 |       1.084e+07 |      0.149366 |        10838293 |        10838293 |       0.000e+00 |
    | fft_rtc_back_len_2048_factors_16_16_8_wgs_256_tpt_256_halfLds_dim_1_sp_ip_CI_unitstride_sbrr_dirReg      | KERNEL_DISPATCH |             404 |         7027430 |       1.739e+04 |      0.096847 |           16160 |           18880 |       4.213e+02 |
    | hipLaunchHostFunc                                                                                        | HIP_API         |             144 |         5841495 |       4.057e+04 |      0.080504 |            6272 |         3183636 |       2.657e+05 |
    | fft_rtc_fwd_len_2048_factors_16_16_8_wgs_256_tpt_256_halfLds_dim_1_sp_op_CI_CI_unitstride_sbrr_dirReg    | KERNEL_DISPATCH |             202 |         3403714 |       1.685e+04 |      0.046908 |           15840 |           19360 |       5.104e+02 |
    | __amd_rocclr_copyBuffer                                                                                  | KERNEL_DISPATCH |             702 |         3202751 |       4.562e+03 |      0.044138 |            2560 |          139681 |       7.167e+03 |
    | hipEventRecord                                                                                           | HIP_API         |             252 |         2764713 |       1.097e+04 |      0.038101 |            1402 |         1104167 |       7.123e+04 |
    | hipStreamSynchronize                                                                                     | HIP_API         |             199 |         2359405 |       1.186e+04 |      0.032516 |             270 |         1836578 |       1.325e+05 |
    | hipFree                                                                                                  | HIP_API         |              27 |         2320715 |       8.595e+04 |      0.031983 |            2815 |         1961004 |       3.763e+05 |
    | hipStreamQuery                                                                                           | HIP_API         |             554 |         2300849 |       4.153e+03 |      0.031709 |             331 |           21931 |       2.592e+03 |
    | c2r_even_pre_Ndiv4_dim1_sp_CI_CI                                                                         | KERNEL_DISPATCH |             404 |         1787698 |       4.425e+03 |      0.024637 |            4000 |            5120 |       1.830e+02 |
