
    ROCPROFV3 SUMMARY:

    |                                                         NAME                                                          |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    |-----------------------------------------------------------------------------------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
    | hipMemset                                                                                                             | HIP_API         |               9 |      3608205307 |       4.009e+08 |     38.931768 |           86886 |       476545508 |       1.520e+08 |
    | hipStreamCreateWithFlags                                                                                              | HIP_API         |             151 |      1834856423 |       1.215e+07 |     19.797711 |        10029920 |        24475686 |       3.834e+06 |
    | hipStreamDestroy                                                                                                      | HIP_API         |             150 |       594014949 |       3.960e+06 |      6.409295 |         3771491 |         4796630 |       1.762e+05 |
    | loop_add_fusion                                                                                                       | KERNEL_DISPATCH |             206 |       548134066 |       2.661e+06 |      5.914250 |            2560 |         2852674 |       4.625e+05 |
    | input_transpose_fusion                                                                                                | KERNEL_DISPATCH |             200 |       433838624 |       2.169e+06 |      4.681027 |         2140665 |         2189786 |       9.268e+03 |
    | loop_add_multiply_subtract_fusion                                                                                     | KERNEL_DISPATCH |             200 |       402496797 |       2.012e+06 |      4.342855 |         1922263 |         2091385 |       3.225e+04 |
    | hipModuleLoadData                                                                                                     | HIP_API         |              78 |       322494506 |       4.135e+06 |      3.479647 |          389491 |        86003641 |       1.558e+07 |
    | hipModuleLaunchKernel                                                                                                 | HIP_API         |            2458 |       267112975 |       1.087e+05 |      2.882092 |            5600 |          471556 |       9.345e+04 |
    | loop_convert_fusion                                                                                                   | KERNEL_DISPATCH |             200 |       256677794 |       1.283e+06 |      2.769499 |         1248975 |         1318896 |       1.379e+04 |
    | hipInit                                                                                                               | HIP_API         |               2 |       154024110 |       7.701e+07 |      1.661887 |             611 |       154023499 |       1.089e+08 |
    | loop_transpose_fusion_1                                                                                               | KERNEL_DISPATCH |             200 |       148597445 |       7.430e+05 |      1.603335 |          735689 |          766089 |       5.231e+03 |
    | loop_transpose_fusion                                                                                                 | KERNEL_DISPATCH |             200 |       147872318 |       7.394e+05 |      1.595511 |          728489 |          769929 |       7.878e+03 |
    | hipGraphLaunch                                                                                                        | HIP_API         |             202 |       140026457 |       6.932e+05 |      1.510856 |           36089 |         2013348 |       4.413e+05 |
    | hipStreamCreateWithPriority                                                                                           | HIP_API         |               4 |        78507998 |       1.963e+07 |      0.847085 |        19487912 |        19871111 |       1.706e+05 |
    | hipHostMalloc                                                                                                         | HIP_API         |               3 |        66461585 |       2.215e+07 |      0.717106 |          156608 |        65147126 |       3.724e+07 |
    | hipMemcpyDtoDAsync                                                                                                    | HIP_API         |             620 |        59928164 |       9.666e+04 |      0.646612 |            5932 |          442732 |       8.452e+04 |
    | hipLaunchKernel                                                                                                       | HIP_API         |             404 |        42110002 |       1.042e+05 |      0.454358 |            6953 |        11526555 |       5.726e+05 |
    | hipMemcpyDtoHAsync                                                                                                    | HIP_API         |              12 |        27238410 |       2.270e+06 |      0.293897 |            5941 |        27033019 |       7.798e+06 |
    | input_reduce_fusion                                                                                                   | KERNEL_DISPATCH |             202 |        22678186 |       1.123e+05 |      0.244693 |          106562 |          115361 |       1.208e+03 |
    | hipStreamQuery                                                                                                        | HIP_API         |             554 |        21421494 |       3.867e+04 |      0.231133 |             301 |          389089 |       8.355e+04 |
    | hipModuleUnload                                                                                                       | HIP_API         |              78 |        21050728 |       2.699e+05 |      0.227133 |            2014 |         1499611 |       1.507e+05 |
    | hipMalloc                                                                                                             | HIP_API         |              45 |        13248711 |       2.944e+05 |      0.142951 |            4899 |         2874435 |       5.217e+05 |
    | hipStreamCreate                                                                                                       | HIP_API         |               1 |        10597439 |       1.060e+07 |      0.114344 |        10597439 |        10597439 |       0.000e+00 |
    | fft_rtc_back_len_2048_factors_16_16_8_wgs_256_tpt_256_halfLds_dim_1_dp_ip_CI_unitstride_sbrr_dirReg                   | KERNEL_DISPATCH |             404 |         5859098 |       1.450e+04 |      0.063218 |            8480 |           21600 |       4.139e+03 |
    | hipMemcpy                                                                                                             | HIP_API         |              24 |         4883167 |       2.035e+05 |      0.052688 |           21150 |         2694403 |       6.090e+05 |
    | fft_rtc_fwd_len_2048_factors_16_16_8_wgs_256_tpt_256_halfLds_dim_1_dp_op_CI_CI_unitstride_sbrr_dirReg                 | KERNEL_DISPATCH |             202 |         3663407 |       1.814e+04 |      0.039527 |           12160 |           21920 |       2.921e+03 |
    | __amd_rocclr_copyBuffer                                                                                               | KERNEL_DISPATCH |             686 |         2449138 |       3.570e+03 |      0.026426 |            1760 |            9600 |       1.024e+03 |
    | hipStreamSynchronize                                                                                                  | HIP_API         |             199 |         2412533 |       1.212e+04 |      0.026031 |             280 |         1892688 |       1.364e+05 |
    | hipLaunchHostFunc                                                                                                     | HIP_API         |             144 |         2383485 |       1.655e+04 |      0.025717 |            6262 |           70044 |       1.041e+04 |
    | hipFree                                                                                                               | HIP_API         |              27 |         2278795 |       8.440e+04 |      0.024588 |            2575 |         1986618 |       3.809e+05 |
    | void rocblas_scal_kernel<int, 256, double, double, double, double*>(int, double, long, double*, long, int, long, int) | KERNEL_DISPATCH |             404 |         1674426 |       4.145e+03 |      0.018067 |            3840 |            5280 |       1.898e+02 |
    | c2r_even_pre_Ndiv4_dim1_dp_CI_CI                                                                                      | KERNEL_DISPATCH |             404 |         1664667 |       4.120e+03 |      0.017961 |            3680 |            8800 |       2.753e+02 |
    | hipEventRecord                                                                                                        | HIP_API         |             252 |         1579198 |       6.267e+03 |      0.017039 |            1553 |           63761 |       7.113e+03 |
    | hipStreamIsCapturing                                                                                                  | HIP_API         |             808 |         1549713 |       1.918e+03 |      0.016721 |             942 |           24236 |       1.395e+03 |
    | hipStreamWaitEvent                                                                                                    | HIP_API         |             192 |         1220951 |       6.359e+03 |      0.013174 |             431 |           46659 |       8.064e+03 |
    | loop_multiply_fusion                                                                                                  | KERNEL_DISPATCH |             215 |         1170413 |       5.444e+03 |      0.012629 |            1760 |          143042 |       1.334e+04 |
    | wrapped_transpose                                                                                                     | KERNEL_DISPATCH |               2 |         1131533 |       5.658e+05 |      0.012209 |          563206 |          568327 |       3.621e+03 |
    | input_transpose_fusion_1                                                                                              | KERNEL_DISPATCH |               2 |         1119854 |       5.599e+05 |      0.012083 |          555207 |          564647 |       6.675e+03 |
    | hipMemcpyHtoDAsync                                                                                                    | HIP_API         |              34 |         1087902 |       3.200e+04 |      0.011738 |            8857 |           74632 |       1.576e+04 |
    | hipMemGetInfo                                                                                                         | HIP_API         |             240 |          942415 |       3.927e+03 |      0.010168 |             871 |           12424 |       2.249e+03 |
    | r2c_even_post_Ndiv4_dim1_dp_CI_CI                                                                                     | KERNEL_DISPATCH |             202 |          836964 |       4.143e+03 |      0.009031 |            3840 |            4481 |       1.133e+02 |
    | loop_multiply_fusion_1                                                                                                | KERNEL_DISPATCH |             200 |          826891 |       4.134e+03 |      0.008922 |            1440 |            4480 |       2.161e+02 |
    | loop_add_fusion_2                                                                                                     | KERNEL_DISPATCH |             200 |          825449 |       4.127e+03 |      0.008906 |            1920 |            4480 |       1.795e+02 |
    | loop_multiply_fusion_2                                                                                                | KERNEL_DISPATCH |             200 |          768327 |       3.842e+03 |      0.008290 |            3200 |            4160 |       1.027e+02 |
    | hipHostFree                                                                                                           | HIP_API         |               2 |          622273 |       3.111e+05 |      0.006714 |          118545 |          503728 |       2.724e+05 |
    | loop_add_fusion_1                                                                                                     | KERNEL_DISPATCH |             200 |          620329 |       3.102e+03 |      0.006693 |            2880 |            3840 |       1.072e+02 |
    | hipGraphInstantiate                                                                                                   | HIP_API         |               2 |          609699 |       3.048e+05 |      0.006579 |          242291 |          367408 |       8.847e+04 |
    | hipCtxSetCurrent                                                                                                      | HIP_API         |            1884 |          575353 |       3.054e+02 |      0.006208 |              80 |           14798 |       8.283e+02 |
    | hipDeviceEnablePeerAccess                                                                                             | HIP_API         |              56 |          563234 |       1.006e+04 |      0.006077 |             260 |          119858 |       2.508e+04 |
    | hipSetDevice                                                                                                          | HIP_API         |            1336 |          424633 |       3.178e+02 |      0.004582 |              70 |           20560 |       1.115e+03 |
    | __amd_rocclr_fillBufferAligned                                                                                        | KERNEL_DISPATCH |               9 |          304163 |       3.380e+04 |      0.003282 |           32640 |           34880 |       7.010e+02 |
    | hipModuleGetFunction                                                                                                  | HIP_API         |             101 |          298230 |       2.953e+03 |      0.003218 |             350 |           12193 |       2.052e+03 |
    | hipGraphExecDestroy                                                                                                   | HIP_API         |               2 |          247992 |       1.240e+05 |      0.002676 |          111312 |          136680 |       1.794e+04 |
    | hipEventCreateWithFlags                                                                                               | HIP_API         |             183 |          228064 |       1.246e+03 |      0.002461 |             381 |           17222 |       1.659e+03 |
    | hipGetDevice                                                                                                          | HIP_API         |            1421 |          226456 |       1.594e+02 |      0.002443 |              60 |            5180 |       2.053e+02 |
    | hipEventDestroy                                                                                                       | HIP_API         |             177 |          192417 |       1.087e+03 |      0.002076 |             411 |            7494 |       1.096e+03 |
    | hipDeviceSynchronize                                                                                                  | HIP_API         |               8 |          171927 |       2.149e+04 |      0.001855 |           10049 |           25850 |       4.821e+03 |
    | hipDeviceGet                                                                                                          | HIP_API         |              24 |          115477 |       4.812e+03 |      0.001246 |              80 |           20599 |       7.251e+03 |
    | hipDeviceGetAttribute                                                                                                 | HIP_API         |             192 |          108394 |       5.646e+02 |      0.001170 |             170 |           44695 |       3.302e+03 |
    | hipGetDevicePropertiesR0600                                                                                           | HIP_API         |              92 |           86094 |       9.358e+02 |      0.000929 |             141 |            9699 |       1.336e+03 |
    | hipExtGetLastError                                                                                                    | HIP_API         |             404 |           74050 |       1.833e+02 |      0.000799 |             100 |            4869 |       2.371e+02 |
    | hipFuncGetAttribute                                                                                                   | HIP_API         |             102 |           62978 |       6.174e+02 |      0.000680 |             120 |            8917 |       1.142e+03 |
    | hipGraphExecKernelNodeSetParams                                                                                       | HIP_API         |               9 |           62529 |       6.948e+03 |      0.000675 |            3477 |           21240 |       5.597e+03 |
    | hipGraphAddKernelNode                                                                                                 | HIP_API         |               9 |           51658 |       5.740e+03 |      0.000557 |            1923 |           22643 |       6.542e+03 |
    | hipModuleGetGlobal                                                                                                    | HIP_API         |               5 |           50997 |       1.020e+04 |      0.000550 |            3386 |           36610 |       1.476e+04 |
    | hipDevicePrimaryCtxGetState                                                                                           | HIP_API         |               8 |           39766 |       4.971e+03 |      0.000429 |             851 |           22703 |       7.534e+03 |
    | hipDeviceGetPCIBusId                                                                                                  | HIP_API         |              16 |           35945 |       2.247e+03 |      0.000388 |             581 |           10059 |       2.344e+03 |
    | hipGetDeviceCount                                                                                                     | HIP_API         |              31 |           30300 |       9.774e+02 |      0.000327 |             291 |            4378 |       6.594e+02 |
    | twiddle_gen_radices_dp                                                                                                | KERNEL_DISPATCH |               1 |           28960 |       2.896e+04 |      0.000312 |           28960 |           28960 |       0.000e+00 |
    | hipGraphAddMemcpyNode1D                                                                                               | HIP_API         |               5 |           22965 |       4.593e+03 |      0.000248 |            1262 |           17443 |       7.185e+03 |
    | hipGraphExecMemcpyNodeSetParams1D                                                                                     | HIP_API         |               5 |           20389 |       4.078e+03 |      0.000220 |            1884 |           12123 |       4.501e+03 |
    | hipGraphCreate                                                                                                        | HIP_API         |               2 |           19408 |       9.704e+03 |      0.000209 |            2024 |           17384 |       1.086e+04 |
    | loop_divide_fusion                                                                                                    | KERNEL_DISPATCH |               4 |           18560 |       4.640e+03 |      0.000200 |            4320 |            4960 |       2.921e+02 |
    | wrapped_multiply                                                                                                      | KERNEL_DISPATCH |               4 |           17281 |       4.320e+03 |      0.000186 |            4160 |            4480 |       1.306e+02 |
    | wrapped_exponential                                                                                                   | KERNEL_DISPATCH |               4 |           17120 |       4.280e+03 |      0.000185 |            4160 |            4320 |       8.000e+01 |
    | hipCtxGetDevice                                                                                                       | HIP_API         |             120 |           16358 |       1.363e+02 |      0.000176 |              60 |            4028 |       3.737e+02 |
    | hipDeviceCanAccessPeer                                                                                                | HIP_API         |              56 |           14946 |       2.669e+02 |      0.000161 |              70 |            8426 |       1.111e+03 |
    | hipGraphDestroy                                                                                                       | HIP_API         |               2 |           12474 |       6.237e+03 |      0.000135 |            3787 |            8687 |       3.465e+03 |
    | wrapped_cosine                                                                                                        | KERNEL_DISPATCH |               2 |           11040 |       5.520e+03 |      0.000119 |            5120 |            5920 |       5.657e+02 |
    | hipCtxGetCurrent                                                                                                      | HIP_API         |               8 |           10852 |       1.356e+03 |      0.000117 |             411 |            4118 |       1.671e+03 |
    | hipDeviceTotalMem                                                                                                     | HIP_API         |              16 |           10148 |       6.342e+02 |      0.000109 |              80 |            6382 |       1.541e+03 |
    | hipDeviceGetName                                                                                                      | HIP_API         |              16 |           10109 |       6.318e+02 |      0.000109 |              80 |            6051 |       1.457e+03 |
    | twiddle_gen_N_dp                                                                                                      | KERNEL_DISPATCH |               1 |            9440 |       9.440e+03 |      0.000102 |            9440 |            9440 |       0.000e+00 |
    | hipDevicePrimaryCtxRetain                                                                                             | HIP_API         |               8 |            8857 |       1.107e+03 |      0.000096 |             351 |            5991 |       1.974e+03 |
    | loop_add_fusion_3                                                                                                     | KERNEL_DISPATCH |               2 |            8160 |       4.080e+03 |      0.000088 |            4000 |            4160 |       1.131e+02 |
    | loop_add_fusion_4                                                                                                     | KERNEL_DISPATCH |               2 |            8000 |       4.000e+03 |      0.000086 |            4000 |            4000 |       0.000e+00 |
