Generating SQLite file nsys_vlp1d_1v_float32_N4096_solver0.sqlite from nsys_vlp1d_1v_float32_N4096_solver0.nsys-rep
Processing [nsys_vlp1d_1v_float32_N4096_solver0.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/nvtx_sum.py]... 
SKIPPED: nsys_vlp1d_1v_float32_N4096_solver0.sqlite does not contain NV Tools Extension (NVTX) data.

Processing [nsys_vlp1d_1v_float32_N4096_solver0.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)         Med (ns)      Min (ns)     Max (ns)       StdDev (ns)             Name         
 --------  ---------------  ---------  ---------------  ---------------  ---------  -------------  ---------------  ----------------------
     86.0  198,930,636,480         73  2,725,077,212.1  2,801,799,584.0     46,496  2,803,157,568    460,523,796.7  pthread_cond_wait     
      6.5   15,088,469,632        162     93,138,701.4    100,105,616.0      2,016    539,884,192     45,325,668.7  poll                  
      3.5    8,000,625,664         12    666,718,805.3         45,104.0      6,016  4,000,043,744  1,556,986,450.6  pthread_cond_timedwait
      2.1    4,821,776,864     15,362        313,876.9         11,712.0      1,024  3,483,004,896     28,769,914.1  read                  
      0.6    1,313,674,976         12    109,472,914.7     41,053,104.0  1,058,016  1,000,057,184    281,263,888.6  clock_nanosleep       
      0.6    1,272,721,728      8,220        154,832.3        146,464.0      1,408     17,035,552        201,957.2  open64                
      0.3      711,674,400      7,735         92,007.0         90,080.0      1,024      9,400,128        109,853.4  close                 
      0.2      550,072,640          8     68,759,080.0        263,312.0     30,720    540,883,072    190,786,073.2  sem_wait              
      0.1      172,154,304        930        185,112.2          8,592.0      1,024     23,988,992      1,010,950.5  ioctl                 
      0.1      129,563,744         56      2,313,638.3         17,792.0      2,752    126,868,800     16,947,185.2  fopen64               
      0.0       73,893,440         84        879,683.8          3,376.0      1,824     73,583,584      8,028,220.2  pipe2                 
      0.0       57,458,848         32      1,795,589.0      1,604,544.0  1,519,168      7,519,776      1,045,844.9  fork                  
      0.0       54,527,680     18,041          3,022.4          1,952.0      1,088         69,248          2,429.4  munmap                
      0.0       40,274,880         72        559,373.3          1,696.0      1,024     16,073,632      2,472,068.7  pwrite                
      0.0       10,804,736      4,564          2,367.4          1,696.0      1,024         56,640          1,849.6  mmap64                
      0.0       10,115,072          2      5,057,536.0      5,057,536.0  5,057,376      5,057,696            226.3  nanosleep             
      0.0        8,636,224         84        102,812.2          2,480.0      1,024      6,911,104        756,079.5  waitpid               
      0.0        4,589,024         61         75,229.9          6,272.0      5,536      1,444,416        261,003.1  pthread_join          
      0.0        3,060,992         34         90,029.2          4,592.0      1,248      1,237,824        270,206.4  open                  
      0.0        2,255,232        129         17,482.4          3,360.0      1,376        240,416         46,559.8  fopen                 
      0.0        1,106,944        112          9,883.4          2,048.0      1,024        115,584         26,857.4  fclose                
      0.0          912,992         85         10,741.1          2,720.0      1,152        608,128         66,027.6  pthread_cond_signal   
      0.0          843,520         31         27,210.3          4,672.0      1,024        338,432         74,838.3  write                 
      0.0          592,992         54         10,981.3         11,584.0      3,424         35,168          5,287.8  fread                 
      0.0          554,080         53         10,454.3          6,048.0      1,728         35,808          8,768.6  fgets                 
      0.0          399,648          2        199,824.0        199,824.0    195,008        204,640          6,810.9  popen                 
