
    ROCPROFV3 SUMMARY:

    |                                                   NAME                                                   |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    |----------------------------------------------------------------------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
    | hipMemset                                                                                                | HIP_API         |               9 |      3400179296 |       3.778e+08 |     35.422447 |           42250 |       464734112 |       1.439e+08 |
    | hipStreamCreateWithFlags                                                                                 | HIP_API         |             151 |      1878716182 |       1.244e+07 |     19.572122 |         9595086 |        24909858 |       3.915e+06 |
    | input_transpose_fusion_2                                                                                 | KERNEL_DISPATCH |              20 |       870684037 |       4.353e+07 |      9.070627 |        43478050 |        43580931 |       3.763e+04 |
    | hipStreamDestroy                                                                                         | HIP_API         |             150 |       577548987 |       3.850e+06 |      6.016800 |         3680030 |         4601260 |       1.381e+05 |
    | input_add_reduce_fusion                                                                                  | KERNEL_DISPATCH |              20 |       394377515 |       1.972e+07 |      4.108553 |        19580362 |        19884525 |       1.075e+05 |
    | input_transpose_fusion_3                                                                                 | KERNEL_DISPATCH |              20 |       354326541 |       1.772e+07 |      3.691309 |        17176497 |        18240349 |       3.314e+05 |
    | input_transpose_fusion                                                                                   | KERNEL_DISPATCH |              20 |       353213414 |       1.766e+07 |      3.679713 |        17284818 |        18127707 |       1.928e+05 |
    | loop_add_fusion                                                                                          | KERNEL_DISPATCH |              31 |       333752410 |       1.077e+07 |      3.476972 |            2400 |        16980976 |       8.115e+06 |
    | loop_compare_fusion_2                                                                                    | KERNEL_DISPATCH |              40 |       299487417 |       7.487e+06 |      3.120005 |         7406477 |         7557518 |       3.785e+04 |
    | hipInit                                                                                                  | HIP_API         |               2 |       149880347 |       7.494e+07 |      1.561426 |             581 |       149879766 |       1.060e+08 |
    | hipMemcpy                                                                                                | HIP_API         |              32 |       143849762 |       4.495e+06 |      1.498601 |           18455 |        65120941 |       1.463e+07 |
    | loop_transpose_fusion_1                                                                                  | KERNEL_DISPATCH |              20 |       140691856 |       7.035e+06 |      1.465702 |         6991752 |         7097834 |       3.410e+04 |
    | loop_transpose_fusion                                                                                    | KERNEL_DISPATCH |              20 |       139697912 |       6.985e+06 |      1.455347 |         6917031 |         7150473 |       5.033e+04 |
    | input_transpose_fusion_1                                                                                 | KERNEL_DISPATCH |              20 |       133101689 |       6.655e+06 |      1.386629 |         6647268 |         6681669 |       7.555e+03 |
    | hipModuleLoadData                                                                                        | HIP_API         |             110 |       106779697 |       9.707e+05 |      1.112411 |          385603 |         3516630 |       3.939e+05 |
    | hipStreamCreateWithPriority                                                                              | HIP_API         |               4 |        77466141 |       1.937e+07 |      0.807028 |        19075505 |        19682538 |       2.696e+05 |
    | hipHostMalloc                                                                                            | HIP_API         |               3 |        67160917 |       2.239e+07 |      0.699670 |          101724 |        65949445 |       3.773e+07 |
    | hipModuleUnload                                                                                          | HIP_API         |             110 |        28757640 |       2.614e+05 |      0.299592 |            1844 |         1578609 |       1.468e+05 |
    | hipMemcpyDtoHAsync                                                                                       | HIP_API         |              30 |        27257733 |       9.086e+05 |      0.283966 |            1663 |        26849983 |       4.900e+06 |
    | hipModuleLaunchKernel                                                                                    | HIP_API         |             398 |        23146422 |       5.816e+04 |      0.241135 |            5510 |          401763 |       3.348e+04 |
    | hipLaunchKernel                                                                                          | HIP_API         |              66 |        15463462 |       2.343e+05 |      0.161096 |            5771 |        11299284 |       1.383e+06 |
    | hipMalloc                                                                                                | HIP_API         |              53 |        13128174 |       2.477e+05 |      0.136767 |            3647 |         2818273 |       4.963e+05 |
    | hipGraphLaunch                                                                                           | HIP_API         |              22 |        12107151 |       5.503e+05 |      0.126130 |           37461 |         1225177 |       2.738e+05 |
    | hipStreamCreate                                                                                          | HIP_API         |               1 |        10549760 |       1.055e+07 |      0.109905 |        10549760 |        10549760 |       0.000e+00 |
    | input_transpose_fusion_4                                                                                 | KERNEL_DISPATCH |               2 |         6714790 |       3.357e+06 |      0.069953 |         3347075 |         3367715 |       1.459e+04 |
    | hipMemcpyDtoDAsync                                                                                       | HIP_API         |             111 |         6002845 |       5.408e+04 |      0.062537 |            4348 |          116291 |       2.911e+04 |
    | input_transpose_fusion_5                                                                                 | KERNEL_DISPATCH |               2 |         5405176 |       2.703e+06 |      0.056310 |         2691868 |         2713308 |       1.516e+04 |
    | hipLaunchHostFunc                                                                                        | HIP_API         |             212 |         3685544 |       1.738e+04 |      0.038395 |            5861 |           93939 |       1.265e+04 |
    | hipStreamSynchronize                                                                                     | HIP_API         |             199 |         2743250 |       1.379e+04 |      0.028579 |             251 |         2255925 |       1.616e+05 |
    | hipFree                                                                                                  | HIP_API         |              35 |         2287196 |       6.535e+04 |      0.023828 |            2405 |         1928714 |       3.253e+05 |
    | loop_multiply_fusion                                                                                     | KERNEL_DISPATCH |              18 |         2260344 |       1.256e+05 |      0.023548 |            2400 |         1138892 |       3.564e+05 |
    | hipEventRecord                                                                                           | HIP_API         |             348 |         1975681 |       5.677e+03 |      0.020582 |            1312 |           65154 |       4.965e+03 |
    | input_reduce_fusion                                                                                      | KERNEL_DISPATCH |              22 |         1881298 |       8.551e+04 |      0.019599 |           12480 |          821928 |       2.346e+05 |
    | hipStreamWaitEvent                                                                                       | HIP_API         |             260 |         1568634 |       6.033e+03 |      0.016342 |             380 |           40878 |       7.273e+03 |
    | hipMemcpyHtoDAsync                                                                                       | HIP_API         |              50 |         1531132 |       3.062e+04 |      0.015951 |            6572 |           70073 |       1.693e+04 |
    | hipMemGetInfo                                                                                            | HIP_API         |             360 |         1356525 |       3.768e+03 |      0.014132 |             892 |           12234 |       2.329e+03 |
    | fft_rtc_back_len_128_factors_16_8_wgs_256_tpt_16_sp_ip_CI_sbcc_dirReg                                    | KERNEL_DISPATCH |              66 |          884004 |       1.339e+04 |      0.009209 |           10720 |           15840 |       1.119e+03 |
    | __amd_rocclr_copyBuffer                                                                                  | KERNEL_DISPATCH |             216 |          847531 |       3.924e+03 |      0.008829 |            1920 |            7840 |       8.843e+02 |
    | hipStreamQuery                                                                                           | HIP_API         |             216 |          698883 |       3.236e+03 |      0.007281 |             330 |           43824 |       6.295e+03 |
    | hipCtxSetCurrent                                                                                         | HIP_API         |            2281 |          680055 |       2.981e+02 |      0.007085 |              80 |           19788 |       8.143e+02 |
    | hipHostFree                                                                                              | HIP_API         |               2 |          672116 |       3.361e+05 |      0.007002 |          134585 |          537531 |       2.849e+05 |
    | hipDeviceEnablePeerAccess                                                                                | HIP_API         |              56 |          582421 |       1.040e+04 |      0.006068 |             250 |          136700 |       2.664e+04 |
    | fft_rtc_back_len_64_factors_4_4_4_wgs_64_tpt_16_sp_op_CI_CI_unitstride_sbrr_C2R_dirReg                   | KERNEL_DISPATCH |              66 |          496327 |       7.520e+03 |      0.005171 |            6400 |            8480 |       4.688e+02 |
    | hipGraphInstantiate                                                                                      | HIP_API         |               2 |          436459 |       2.182e+05 |      0.004547 |          139024 |          297435 |       1.120e+05 |
    | hipSetDevice                                                                                             | HIP_API         |             340 |          380411 |       1.119e+03 |      0.003963 |              70 |           21060 |       2.548e+03 |
    | hipModuleGetFunction                                                                                     | HIP_API         |             134 |          375285 |       2.801e+03 |      0.003910 |             190 |           13225 |       2.024e+03 |
    | hipDeviceGet                                                                                             | HIP_API         |              24 |          305861 |       1.274e+04 |      0.003186 |              90 |           73330 |       2.193e+04 |
    | __amd_rocclr_fillBufferAligned                                                                           | KERNEL_DISPATCH |               9 |          304644 |       3.385e+04 |      0.003174 |           32960 |           34721 |       6.307e+02 |
    | fft_rtc_fwd_len_128_factors_16_8_wgs_256_tpt_16_sp_ip_CI_sbcc_dirReg                                     | KERNEL_DISPATCH |              22 |          297441 |       1.352e+04 |      0.003099 |           12320 |           14560 |       7.517e+02 |
    | hipStreamIsCapturing                                                                                     | HIP_API         |             132 |          287141 |       2.175e+03 |      0.002991 |            1102 |           22383 |       3.148e+03 |
    | void rocblas_sscal_2_kernel<256, float, float, float, float*>(int, float, long, float*, long, long, int) | KERNEL_DISPATCH |              66 |          279204 |       4.230e+03 |      0.002909 |            3840 |            4961 |       2.544e+02 |
    | hipEventCreateWithFlags                                                                                  | HIP_API         |             198 |          254223 |       1.284e+03 |      0.002648 |             411 |           18015 |       1.705e+03 |
    | hipGraphExecDestroy                                                                                      | HIP_API         |               2 |          241528 |       1.208e+05 |      0.002516 |          112002 |          129526 |       1.239e+04 |
    | hipEventDestroy                                                                                          | HIP_API         |             192 |          212424 |       1.106e+03 |      0.002213 |             371 |           16261 |       1.488e+03 |
    | fft_rtc_fwd_len_64_factors_4_4_4_wgs_64_tpt_16_sp_op_CI_CI_unitstride_sbrr_R2C_dirReg                    | KERNEL_DISPATCH |              22 |          176961 |       8.044e+03 |      0.001844 |            7040 |            9920 |       7.426e+02 |
    | hipDeviceSynchronize                                                                                     | HIP_API         |               8 |          161875 |       2.023e+04 |      0.001686 |            8416 |           25729 |       5.300e+03 |
    | loop_multiply_fusion_1                                                                                   | KERNEL_DISPATCH |              40 |          161442 |       4.036e+03 |      0.001682 |            1760 |            4800 |       5.465e+02 |
    | hipDevicePrimaryCtxGetState                                                                              | HIP_API         |               8 |          146027 |       1.825e+04 |      0.001521 |             751 |           50356 |       1.853e+04 |
    | hipGetDevicePropertiesR0600                                                                              | HIP_API         |             100 |          122655 |       1.227e+03 |      0.001278 |             150 |           19788 |       2.575e+03 |
    | hipGetDevice                                                                                             | HIP_API         |             441 |           95721 |       2.171e+02 |      0.000997 |              60 |            7143 |       5.123e+02 |
    | loop_add_fusion_2                                                                                        | KERNEL_DISPATCH |              20 |           80161 |       4.008e+03 |      0.000835 |            1920 |            4320 |       4.992e+02 |
    | loop_multiply_fusion_2                                                                                   | KERNEL_DISPATCH |              20 |           76481 |       3.824e+03 |      0.000797 |            3040 |            4160 |       2.134e+02 |
