
    ROCPROFV3 SUMMARY:

    |                                                         NAME                                                          |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    |-----------------------------------------------------------------------------------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
    | hipMemset                                                                                                             | HIP_API         |               9 |      3694160361 |       4.105e+08 |     43.496285 |           33343 |       482861754 |       1.554e+08 |
    | hipStreamCreateWithFlags                                                                                              | HIP_API         |             151 |      1864585901 |       1.235e+07 |     21.954261 |         9757024 |        26615806 |       4.052e+06 |
    | hipStreamDestroy                                                                                                      | HIP_API         |             150 |       578011831 |       3.853e+06 |      6.805706 |         3725256 |         4585079 |       1.344e+05 |
    | input_concatenate_fusion                                                                                              | KERNEL_DISPATCH |              22 |       561775713 |       2.554e+07 |      6.614536 |            2560 |        28847337 |       8.270e+06 |
    | loop_add_fusion_1                                                                                                     | KERNEL_DISPATCH |              20 |       382259143 |       1.911e+07 |      4.500848 |        18640512 |        19483081 |       2.359e+05 |
    | input_concatenate_fusion_1                                                                                            | KERNEL_DISPATCH |              20 |       199785901 |       9.989e+06 |      2.352346 |         9977063 |         9998663 |       5.877e+03 |
    | loop_add_fusion                                                                                                       | KERNEL_DISPATCH |              31 |       173488349 |       5.596e+06 |      2.042710 |            2241 |         8757371 |       4.216e+06 |
    | input_concatenate_fusion_2                                                                                            | KERNEL_DISPATCH |              20 |       160793337 |       8.040e+06 |      1.893235 |         7765200 |         8180564 |       1.115e+05 |
    | hipInit                                                                                                               | HIP_API         |               2 |       152379895 |       7.619e+07 |      1.794172 |             511 |       152379384 |       1.077e+08 |
    | hipModuleLoadData                                                                                                     | HIP_API         |             110 |       123086655 |       1.119e+06 |      1.449264 |          383669 |         8870510 |       9.166e+05 |
    | input_add_reduce_fusion                                                                                               | KERNEL_DISPATCH |              20 |       112711711 |       5.636e+06 |      1.327106 |         5219413 |         5786299 |       1.580e+05 |
