Generating SQLite file nsys_vlp2d_2v_float64_Nx128_Nvx128_solver2.sqlite from nsys_vlp2d_2v_float64_Nx128_Nvx128_solver2.nsys-rep
Processing [nsys_vlp2d_2v_float64_Nx128_Nvx128_solver2.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/nvtx_sum.py]... 
SKIPPED: nsys_vlp2d_2v_float64_Nx128_Nvx128_solver2.sqlite does not contain NV Tools Extension (NVTX) data.

Processing [nsys_vlp2d_2v_float64_Nx128_Nvx128_solver2.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)   Total Time (ns)   Num Calls     Avg (ns)       Med (ns)    Min (ns)    Max (ns)       StdDev (ns)             Name         
 --------  -----------------  ---------  ---------------  -----------  --------  -------------  ---------------  ----------------------
     97.4  2,318,362,347,296     13,848    167,414,958.6     76,080.0     1,280  9,184,366,656  1,102,920,633.3  pthread_cond_wait     
      1.4     32,394,100,096      3,110     10,416,109.4      4,480.0     1,024  9,107,936,288    240,301,722.1  futex                 
      0.8     19,323,944,000        672     28,755,869.0    466,400.0     1,024    110,777,312     41,934,916.9  poll                  
      0.3      8,000,115,872          5  1,600,023,174.4     25,792.0     8,928  4,000,044,096  2,190,894,781.3  pthread_cond_timedwait
      0.0        397,685,792        134      2,967,804.4      1,408.0     1,024    198,839,136     24,147,000.4  pwrite                
      0.0        294,132,064        985        298,611.2     11,872.0     1,024    107,517,472      3,790,199.2  ioctl                 
      0.0        268,062,624      2,101        127,588.1    142,688.0     1,568        837,440         52,517.5  open64                
      0.0        172,236,064      2,021         85,223.2     89,856.0     1,024      3,908,256         90,554.2  close                 
      0.0        147,120,800        263        559,394.7     17,088.0     7,040    122,446,400      7,556,929.4  pthread_join          
      0.0        143,194,464      1,000        143,194.5      7,312.0     1,024      2,377,056        451,709.5  pthread_mutex_lock    
      0.0         45,221,184      5,049          8,956.5      9,248.0     1,024        293,376          8,011.6  read                  
      0.0         38,762,528        141        274,911.5      3,072.0     1,280     18,682,432      2,164,052.8  open                  
      0.0         17,345,344     11,350          1,528.2      1,344.0     1,024         48,064          1,363.4  pthread_cond_signal   
      0.0         13,843,968         38        364,314.9    355,936.0   333,664        519,680         33,287.2  posix_spawnp          
      0.0         13,763,008        370         37,197.3     34,752.0    13,792         95,424         11,428.5  pthread_create        
      0.0          9,342,176      2,511          3,720.5      3,584.0     1,664          9,696            796.3  openat                
      0.0          8,772,640        243         36,101.4      8,736.0     1,568        263,552         54,403.2  fopen                 
      0.0          6,880,576      1,599          4,303.0      2,528.0     1,216        158,912          7,892.0  munmap                
      0.0          6,262,880         38        164,812.6    160,272.0   146,592        247,200         17,754.9  waitpid               
      0.0          5,316,576          5      1,063,315.2     64,704.0    63,712      5,059,168      2,233,749.7  nanosleep             
      0.0          4,622,048        219         21,105.2      7,328.0     1,024        113,984         30,088.2  fclose                
      0.0          2,980,160        335          8,896.0      1,824.0     1,056         67,584         13,466.6  pthread_cond_broadcast
      0.0          2,938,816         39         75,354.3     80,448.0     1,024        103,328         23,231.2  fcntl                 
      0.0          2,760,416          2      1,380,208.0  1,380,208.0   538,944      2,221,472      1,189,727.0  ftruncate             
      0.0          1,590,432        479          3,320.3      3,168.0     1,024         35,680          2,458.0  mmap64                
      0.0          1,520,160        407          3,735.0      2,144.0     1,024        355,424         17,597.4  write                 
      0.0          1,257,568        187          6,725.0      4,832.0     1,056         20,480          5,165.1  fread                 
      0.0          1,189,376         16         74,336.0     12,784.0     3,072        322,144         97,531.5  fopen64               
      0.0            673,984         11         61,271.3     10,464.0     8,704        371,488        109,467.0  sem_timedwait         
      0.0            417,568         40         10,439.2      4,544.0     1,856         85,344         14,521.1  fgets                 
      0.0            404,704          2        202,352.0    202,352.0   184,576        220,128         25,139.1  popen                 
      0.0            350,784         43          8,157.8      5,920.0     2,016         44,000          7,384.9  mmap                  
      0.0            345,152         74          4,664.2      2,352.0     1,568         26,176          5,063.5  fwrite                
      0.0            195,424         38          5,142.7      3,808.0     3,072         42,240          6,274.1  pipe                  
      0.0            182,272          2         91,136.0     91,136.0    90,368         91,904          1,086.1  flock                 
      0.0            147,072         38          3,870.3      2,864.0     2,400         10,656          2,100.0  pread                 
      0.0            117,248          1        117,248.0    117,248.0   117,248        117,248              0.0  sem_wait              
      0.0            112,384         10         11,238.4     12,560.0     1,120         16,864          5,103.1  pthread_rwlock_wrlock 
      0.0             67,712          6         11,285.3     10,848.0     8,192         15,584          2,741.2  pthread_rwlock_rdlock 
      0.0             19,424          4          4,856.0      4,432.0     2,080          8,480          3,003.4  pipe2                 
      0.0             15,168          2          7,584.0      7,584.0     4,384         10,784          4,525.5  socket                
      0.0             11,072          1         11,072.0     11,072.0    11,072         11,072              0.0  connect               
