Generating SQLite file nsys_vlp2d_2v_float32_Nx128_Nvx128_solver0.sqlite from nsys_vlp2d_2v_float32_Nx128_Nvx128_solver0.nsys-rep
Processing [nsys_vlp2d_2v_float32_Nx128_Nvx128_solver0.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/nvtx_sum.py]... 
SKIPPED: nsys_vlp2d_2v_float32_Nx128_Nvx128_solver0.sqlite does not contain NV Tools Extension (NVTX) data.

Processing [nsys_vlp2d_2v_float32_Nx128_Nvx128_solver0.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)         Med (ns)      Min (ns)      Max (ns)       StdDev (ns)              Name         
 --------  ---------------  ---------  ---------------  ---------------  ---------  --------------  ----------------  ----------------------
     40.5  199,956,064,160         73  2,739,124,166.6  2,816,256,896.0     54,592   2,817,523,456     462,896,824.2  pthread_cond_wait     
     21.3  105,334,676,992        779    135,217,813.9    100,103,648.0      1,024  29,212,826,016   1,043,251,466.5  poll                  
     13.0   64,001,260,000         28  2,285,759,285.7  4,000,037,040.0      2,112   4,000,044,128   2,015,801,511.3  pthread_cond_timedwait
     12.6   62,185,397,728     15,365      4,047,211.0         11,744.0      1,088  29,214,205,504     334,464,488.6  read                  
      5.9   29,315,111,552         40    732,877,788.8  1,000,050,384.0  1,057,280   1,000,060,352     439,478,855.6  clock_nanosleep       
      5.9   29,222,115,520          8  3,652,764,440.0        227,680.0     23,712  29,213,849,376  10,328,238,283.1  sem_wait              
      0.3    1,267,584,352      8,224        154,132.3        145,632.0      1,728      11,270,464         150,036.2  open64                
      0.1      703,192,416      7,731         90,957.5         91,360.0      1,024       1,421,728          28,459.8  close                 
      0.1      562,005,504     93,835          5,989.3          5,824.0      1,088          72,448           3,103.1  munmap                
      0.1      261,184,928        966        270,377.8          9,504.0      1,152      28,559,680       1,559,920.6  ioctl                 
      0.1      249,079,616        100      2,490,796.2          1,568.0      1,024     143,784,640      17,691,981.9  pwrite                
      0.0      126,415,424         84      1,504,945.5          3,616.0      1,728     126,093,760      13,757,534.5  pipe2                 
      0.0      121,199,296         56      2,164,273.1         17,056.0      2,560     118,569,632      15,838,327.0  fopen64               
      0.0       61,097,248         32      1,909,289.0      1,618,304.0  1,562,784       9,140,448       1,331,387.4  fork                  
      0.0       40,274,400     22,977          1,752.8          1,312.0      1,024          46,304           1,172.2  mmap64                
      0.0       21,528,224         34        633,183.1          4,272.0      1,152      10,317,728       2,416,821.5  open                  
      0.0       10,120,608          2      5,060,304.0      5,060,304.0  5,059,584       5,061,024           1,018.2  nanosleep             
