Generating SQLite file nsys_vlp2d_2v_float64_Nx128_Nvx128_solver2.sqlite from nsys_vlp2d_2v_float64_Nx128_Nvx128_solver2.nsys-rep
Processing [nsys_vlp2d_2v_float64_Nx128_Nvx128_solver2.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/nvtx_sum.py]... 
SKIPPED: nsys_vlp2d_2v_float64_Nx128_Nvx128_solver2.sqlite does not contain NV Tools Extension (NVTX) data.

Processing [nsys_vlp2d_2v_float64_Nx128_Nvx128_solver2.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)         Med (ns)      Min (ns)     Max (ns)       StdDev (ns)             Name         
 --------  ---------------  ---------  ---------------  ---------------  ---------  -------------  ---------------  ----------------------
     74.6  195,436,842,560         73  2,677,217,021.4  2,752,620,576.0     58,752  2,753,953,504    452,433,304.5  pthread_cond_wait     
     11.5   30,190,383,136        285    105,931,168.9    100,104,352.0      1,824  3,333,175,904    193,088,855.3  poll                  
      6.1   16,000,720,640         17    941,218,861.2         24,704.0      7,232  4,000,042,976  1,748,938,786.9  pthread_cond_timedwait
      3.9   10,299,239,616     15,329        671,879.4         11,872.0      1,024  3,366,277,696     46,787,321.3  read                  
      1.3    3,343,239,104          8    417,904,888.0        294,816.0     21,632  3,334,203,232  1,178,365,433.9  sem_wait              
      1.3    3,313,834,560         14    236,702,468.6     50,053,328.0  1,056,352  1,000,064,288    414,156,831.9  clock_nanosleep       
      0.5    1,369,847,264      8,208        166,891.7        145,488.0      1,600    141,289,568      1,558,998.9  open64                
      0.3      677,587,072      7,715         87,827.2         88,000.0      1,024      2,629,920         40,965.4  close                 
      0.2      653,289,088        116      5,631,802.5          1,552.0      1,024    327,031,616     42,651,062.6  pwrite                
      0.1      382,194,656     73,155          5,224.5          5,760.0      1,120         86,688          2,666.0  munmap                
      0.1      167,947,680        935        179,623.2          9,056.0      1,024     15,625,184        720,787.7  ioctl                 
      0.0       64,927,776         56      1,159,424.6         17,728.0      2,560     62,289,152      8,317,678.4  fopen64               
      0.0       59,556,192         32      1,861,131.0      1,651,120.0  1,531,936      7,735,328      1,079,510.8  fork                  
      0.0       39,980,800         34      1,175,905.9          4,128.0      1,216     19,886,720      4,659,431.8  open                  
      0.0       25,087,744     13,745          1,825.2          1,408.0      1,024         32,480          1,126.0  mmap64                
      0.0       10,114,656          2      5,057,328.0      5,057,328.0  5,056,256      5,058,400          1,516.0  nanosleep             
      0.0        7,936,384         83         95,619.1          2,560.0      1,024      6,749,568        740,009.9  waitpid               
      0.0        4,660,352         55         84,733.7          6,496.0      5,632      3,745,408        505,915.0  pthread_join          
      0.0        2,863,968        139         20,604.1          3,872.0      1,312        250,720         49,122.4  fopen                 
      0.0        2,236,288          2      1,118,144.0      1,118,144.0    410,176      1,826,112      1,001,217.9  ftruncate             
      0.0        1,876,864        128         14,663.0          2,160.0      1,024        507,424         51,648.3  fclose                
      0.0          829,728         30         27,657.6          4,608.0      1,568        289,536         72,441.5  write                 
      0.0          688,576         69          9,979.4         11,392.0      1,984         29,664          5,635.7  fread                 
      0.0          670,848         14         47,917.7         78,512.0      1,024         91,680         42,033.9  fcntl                 
      0.0          498,624         53          9,408.0          4,512.0      1,696         34,112          9,011.6  fgets                 
      0.0          371,552          2        185,776.0        185,776.0    183,616        187,936          3,054.7  popen                 
      0.0          368,864          8         46,108.0         45,280.0     36,128         56,640          7,283.3  pthread_create        
